;ICC;F;df1;df2;pval;CI95%;Description;Stage;Group;Bands;Components
215;0.865467;7.433122;17;51;0.0;[0.72 0.94];Average fixed raters;Preprocessed data;CTR;gamma;FC3
216;0.912314;11.404347;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;delta;FC4
217;0.971872;35.551613;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;theta;FC4
218;0.941593;17.121204;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;alpha-1;FC4
219;0.946369;18.646052;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;alpha-2;FC4
220;0.953844;21.665611;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;beta1;FC4
221;0.92256;12.913204;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;beta2;FC4
222;0.971101;34.603833;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;beta3;FC4
223;0.913567;11.569719;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;gamma;FC4
224;0.874895;7.993255;17;51;0.0;[0.74 0.95];Average fixed raters;Preprocessed data;CTR;delta;FC5
225;0.971575;35.180731;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;theta;FC5
226;0.922018;12.823395;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;FC5
227;0.914141;11.646989;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;alpha-2;FC5
228;0.951713;20.709425;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;beta1;FC5
229;0.838815;6.204053;17;51;0.0;[0.67 0.93];Average fixed raters;Preprocessed data;CTR;beta2;FC5
230;0.926228;13.555268;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;beta3;FC5
231;0.858516;7.06793;17;51;0.0;[0.71 0.94];Average fixed raters;Preprocessed data;CTR;gamma;FC5
232;0.894497;9.478402;17;51;0.0;[0.78 0.96];Average fixed raters;Preprocessed data;CTR;delta;FC6
